task,model,auroc,ci_lo_95,ci_hi_95
T2_part_in_stock,Dummy_stratified,0.4851,0.4224,0.5604
T2_part_in_stock,LogReg_L2,0.6934,0.5863,0.792
T2_part_in_stock,RandomForest,0.6476,0.5405,0.7467
T2_part_in_stock,GradBoost,0.606,0.4979,0.7052
T2_part_in_stock,HistGB,0.5462,0.4499,0.6442
T2_part_in_stock,XGBoost,0.6295,0.5223,0.7378
T3_long_downtime,Dummy_stratified,0.5089,0.4288,0.5848
T3_long_downtime,LogReg_L2,0.8571,0.8039,0.904
T3_long_downtime,RandomForest,0.9838,0.9668,0.996
T3_long_downtime,GradBoost,0.9923,0.9834,0.9985
T3_long_downtime,HistGB,0.9907,0.9788,0.9981
T3_long_downtime,XGBoost,0.987,0.9693,0.9975
