run_id,asset_id,asset_type,failure_time,fault_type,severity,severity_category,repair_time_h,total_downtime_h,restoration_time
1,FCU_010,FCU,2025-01-14 07:33:45.296737,Coil fouling,1,LOW,1.0967472281054251,1.0967472281054251,2025-01-14 08:39:33.586758
1,FCU_030,FCU,2025-03-13 07:19:25.794058,Coil fouling,1,LOW,1.6438868500178208,1.6438868500178208,2025-03-13 08:58:03.786718
1,FCU_007,FCU,2025-04-16 22:14:30.429267,Valve actuator,2,MEDIUM,1.9323507544756549,1.9323507544756549,2025-04-17 00:10:26.891983
1,FCU_042,FCU,2025-05-08 19:14:11.414790,Valve actuator,2,MEDIUM,2.2987396360683086,2.2987396360683086,2025-05-08 21:32:06.877480
2,FCU_015,FCU,2025-05-05 16:18:55.553434,Fan motor failure,2,MEDIUM,4.039697666977285,4.039697666977285,2025-05-05 20:21:18.465035
3,FCU_006,FCU,2024-01-17 05:10:02.426549,Coil fouling,1,LOW,1.6079701427576867,1.6079701427576867,2024-01-17 06:46:31.119063
3,FCU_020,FCU,2024-04-18 09:08:49.148186,Fan motor failure,2,MEDIUM,5.622183433111526,5.622183433111526,2024-04-18 14:46:09.008545
3,FCU_031,FCU,2025-04-02 22:57:49.243357,Fan motor failure,2,MEDIUM,4.424883030064202,4.424883030064202,2025-04-03 03:23:18.822265
3,FCU_010,FCU,2025-04-25 14:31:07.898509,Valve actuator,2,MEDIUM,2.606042449628807,2.606042449628807,2025-04-25 17:07:29.651328
3,FCU_027,FCU,2025-04-30 06:33:14.731860,Fan motor failure,2,MEDIUM,4.778902705323501,4.778902705323501,2025-04-30 11:19:58.781599
4,FCU_006,FCU,2025-01-09 20:18:16.845266,Valve actuator,2,MEDIUM,2.657658187985288,2.657658187985288,2025-01-09 22:57:44.414743
4,FCU_043,FCU,2025-03-02 04:55:30.376445,Valve actuator,2,MEDIUM,4.078162491987642,4.078162491987642,2025-03-02 09:00:11.761416
4,FCU_025,FCU,2025-03-16 17:01:24.290439,Filter blockage,1,LOW,0.6877185195855842,0.6877185195855842,2025-03-16 17:42:40.077110
4,FCU_035,FCU,2025-04-23 20:27:37.547107,Fan motor failure,2,MEDIUM,3.317550103136311,3.317550103136311,2025-04-23 23:46:40.727478
4,FCU_022,FCU,2025-05-12 02:53:12.205173,Coil fouling,1,LOW,2.3085661824206416,2.3085661824206416,2025-05-12 05:11:43.043430
5,FCU_022,FCU,2023-12-15 19:12:12.343954,Filter blockage,1,LOW,1.4688699622577814,1.4688699622577814,2023-12-15 20:40:20.275818
5,CHWP_001,CHW_Pump,2024-01-20 14:30:27.361060,Bearing wear,3,HIGH,11.171026884380764,11.171026884380764,2024-01-21 01:40:43.057844
5,FCU_012,FCU,2024-10-08 16:58:11.048747,Filter blockage,1,LOW,0.5803898247199424,0.5803898247199424,2024-10-08 17:33:00.452116
5,FCU_049,FCU,2024-11-03 11:31:42.867042,Fan motor failure,2,MEDIUM,2.599117426473979,2.599117426473979,2024-11-03 14:07:39.689777
6,FCU_008,FCU,2024-01-04 12:10:24.292900,Coil fouling,1,LOW,2.1302563661579157,2.1302563661579157,2024-01-04 14:18:13.215818
6,FCU_018,FCU,2024-06-23 08:09:52.269591,Coil fouling,1,LOW,2.6911174703379066,2.6911174703379066,2024-06-23 10:51:20.292484
6,FCU_011,FCU,2024-11-08 17:55:16.406700,Filter blockage,1,LOW,1.260983508558324,1.260983508558324,2024-11-08 19:10:55.947331
6,FCU_022,FCU,2025-02-03 06:00:43.679320,Coil fouling,1,LOW,3.262335905513306,3.262335905513306,2025-02-03 09:16:28.088580
