run_id,asset_id,asset_type,failure_time,fault_type,severity,severity_category,repair_time_h,total_downtime_h,restoration_time,temperature_stress_factor,load_stress_factor,combined_stress_multiplier
1,FCU_041,FCU,2023-11-14 02:04:32.375152,Thermostat failure,1,LOW,2.597019944736414,2.597019944736414,2023-11-14 04:40:21.646953,1.0163828947255942,1.018762771976675,1.0354530552203234
1,FCU_050,FCU,2024-02-08 04:27:44.014318,Fan motor failure,2,MEDIUM,3.398936840244123,3.398936840244123,2024-02-08 07:51:40.186943,1.1719210120044614,1.0415812076048838,1.2206509029011445
1,FCU_040,FCU,2024-08-09 09:27:18.505526,Filter blockage,1,LOW,1.2771847231784272,1.2771847231784272,2024-08-09 10:43:56.370529,0.8011331551829514,0.9032546662763915,0.7236272607277293
1,FCU_017,FCU,2024-12-08 03:42:25.811495,Thermostat failure,1,LOW,1.3130201125536642,1.3130201125536642,2024-12-08 05:01:12.683900,1.0681452137084366,0.9967581569371563,1.0646824545572662
1,FCU_044,FCU,2025-01-31 19:42:59.218413,Thermostat failure,1,LOW,1.5527079810273194,1.5527079810273194,2025-01-31 21:16:08.967145,1.0426269964119461,0.9460272341889029,0.9863535337062765
1,CHWP_001,CHW_Pump,2025-04-27 03:51:17.212527,Bearing wear,3,HIGH,10.688046744300763,10.688046744300763,2025-04-27 14:32:34.180806,0.8917406621579045,1.0973576766283961,0.9785584611806656
2,FCU_044,FCU,2025-02-25 06:04:08.762187,Thermostat failure,1,LOW,1.8243260315682353,1.8243260315682353,2025-02-25 07:53:36.335901,1.0134172575362514,0.9551508813758667,0.9679663867372642
3,HWP_002,HW_Pump,2023-07-17 08:52:00.320764,Seal leakage,2,MEDIUM,3.6582959295023407,3.6582959295023407,2023-07-17 12:31:30.186110,1.1547233784930242,1.0361446785764272,1.1964604838533406
3,FCU_049,FCU,2024-08-13 07:06:52.920197,Coil fouling,1,LOW,2.245745444830203,2.245745444830203,2024-08-13 09:21:37.603798,1.0423996342264656,1.1064992681768042,1.1534144324193527
3,CT_001,CoolingTower,2024-08-18 11:12:13.766063,Drift eliminator damage,2,MEDIUM,4.256715039018441,4.256715039018441,2024-08-18 15:27:37.940203,1.0659688261218274,0.9032218562920837,0.9628063418792504
4,HWP_002,HW_Pump,2024-07-02 18:53:39.067900,Impeller damage,4,CRITICAL,13.631023994585542,13.631023994585542,2024-07-03 08:31:30.754281,1.0102272725625636,1.0971798559506756,1.1084010133876374
4,FCU_006,FCU,2024-08-06 14:58:33.005862,Filter blockage,1,LOW,1.0822607873821415,1.0822607873821415,2024-08-06 16:03:29.144697,1.0506841759610497,0.999961528164145,1.0506437542118967
4,HP_001,HeatPump,2024-09-09 07:39:03.189831,Compressor degradation,4,CRITICAL,14.954949615166951,14.954949615166951,2024-09-09 22:36:21.008446,1.0789427710044412,0.9321631259817925,1.0057506661749573
4,FCU_023,FCU,2024-10-30 19:36:16.530401,Valve actuator,2,MEDIUM,4.668986183103118,4.668986183103118,2024-10-31 00:16:24.880660,1.0017320697612373,0.970901700628918,0.9725833701057113
4,FCU_002,FCU,2025-02-01 03:54:08.794780,Coil fouling,1,LOW,1.7082592922349022,1.7082592922349022,2025-02-01 05:36:38.528232,1.2373190509697676,1.0044733198851707,1.2428539748847713
4,CT_001,CoolingTower,2025-02-07 06:29:17.858913,Water distribution system,3,HIGH,3.9941285671324547,3.9941285671324547,2025-02-07 10:28:56.721755,0.9728578333040402,1.0504002909754164,1.021890151180277
4,FCU_020,FCU,2025-03-04 04:20:32.570291,Coil fouling,1,LOW,1.9222645101449185,1.9222645101449185,2025-03-04 06:15:52.722528,1.0699959255695448,0.972741174152157,1.040829092976543
