source_node,target_node,edge_type,weight
"('P', 462)","('KW', 'digital twin')",paper-topic,1.0
"('P', 462)","('P', 262)",paper-paper,1.0
"('P', 169)","('KW', 'synthetic data')",paper-topic,1.0
"('P', 169)","('P', 560)",paper-paper,0.28443979001331954
"('P', 288)","('KW', 'digital twin')",paper-topic,1.0
"('P', 288)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 288)","('P', 240)",paper-paper,0.3578876451017382
"('P', 288)","('P', 468)",paper-paper,0.3578876451017382
"('P', 288)","('P', 496)",paper-paper,0.34055069913059904
"('P', 288)","('P', 499)",paper-paper,0.3044588994492091
"('P', 288)","('P', 473)",paper-paper,1.0000000000000002
"('P', 526)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 526)","('P', 524)",paper-paper,0.29435465209918343
"('P', 471)","('KW', 'digital twin')",paper-topic,1.0
"('P', 471)","('P', 291)",paper-paper,1.000000000000001
"('P', 535)","('KW', 'digital twin')",paper-topic,1.0
"('P', 535)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 535)","('P', 86)",paper-paper,0.42391546688961473
"('P', 535)","('P', 475)",paper-paper,0.3496942533778597
"('P', 535)","('P', 489)",paper-paper,0.3088146141011441
"('P', 535)","('P', 524)",paper-paper,0.42045813006280003
"('P', 544)","('KW', 'synthetic data')",paper-topic,1.0
"('P', 544)","('P', 573)",paper-paper,0.3088176340757782
"('P', 544)","('P', 569)",paper-paper,0.3078600032970258
"('P', 544)","('P', 580)",paper-paper,0.3005014299219609
"('P', 544)","('P', 579)",paper-paper,0.30795657739387644
"('P', 544)","('P', 577)",paper-paper,0.340291725882806
"('P', 544)","('P', 550)",paper-paper,0.32141045547230457
"('P', 544)","('P', 568)",paper-paper,0.353687400353574
"('P', 489)","('KW', 'digital twin')",paper-topic,1.0
"('P', 489)","('P', 86)",paper-paper,0.33592077924170954
"('P', 489)","('P', 275)",paper-paper,0.29302321905297035
"('P', 489)","('P', 475)",paper-paper,0.36454204941368157
"('P', 489)","('P', 496)",paper-paper,0.34297698725120934
"('P', 489)","('P', 500)",paper-paper,0.6081027385758719
"('P', 434)","('KW', 'reliability engineering')",paper-topic,1.0
"('P', 434)","('P', 426)",paper-paper,0.30195783932446457
"('P', 434)","('P', 427)",paper-paper,0.30195783932446457
"('P', 434)","('P', 450)",paper-paper,0.30195783932446457
"('P', 434)","('P', 438)",paper-paper,0.30195783932446457
"('P', 498)","('KW', 'digital twin')",paper-topic,1.0
"('P', 498)","('P', 86)",paper-paper,0.283324582288411
"('P', 498)","('P', 475)",paper-paper,0.38561982201866446
"('P', 498)","('P', 486)",paper-paper,0.28530286285595396
"('P', 498)","('P', 496)",paper-paper,0.3218169444842005
"('P', 562)","('KW', 'synthetic data')",paper-topic,1.0
"('P', 562)","('P', 181)",paper-paper,0.3421440143438029
"('P', 562)","('P', 554)",paper-paper,0.493719175392667
"('P', 562)","('P', 555)",paper-paper,0.43832361702507716
"('P', 562)","('P', 569)",paper-paper,0.2831095365245977
"('P', 562)","('P', 575)",paper-paper,0.38872860132209364
"('P', 80)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 144)","('KW', 'condition monitoring')",paper-topic,1.0
"('P', 144)","('P', 30)",paper-paper,0.37807491377038244
"('P', 144)","('P', 95)",paper-paper,0.4066258255694153
"('P', 162)","('KW', 'synthetic data')",paper-topic,1.0
"('P', 162)","('P', 575)",paper-paper,0.2863715771609911
"('P', 162)","('P', 557)",paper-paper,0.2879459356051473
"('P', 455)","('KW', 'reliability engineering')",paper-topic,1.0
"('P', 455)","('P', 426)",paper-paper,0.2878291613902507
"('P', 455)","('P', 427)",paper-paper,0.2878291613902507
"('P', 455)","('P', 438)",paper-paper,0.2878291613902507
"('P', 455)","('P', 450)",paper-paper,0.2878291613902507
"('P', 519)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 519)","('P', 509)",paper-paper,0.3157612020979957
"('P', 519)","('P', 513)",paper-paper,0.2927609903004567
"('P', 519)","('P', 517)",paper-paper,0.32544927350278674
"('P', 519)","('P', 524)",paper-paper,0.3495610602676983
"('P', 519)","('P', 522)",paper-paper,0.4183648642690895
"('P', 464)","('KW', 'digital twin')",paper-topic,1.0
"('P', 464)","('P', 273)",paper-paper,0.569779812050544
"('P', 528)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 528)","('P', 523)",paper-paper,0.29416712568030406
"('P', 528)","('P', 524)",paper-paper,0.44297138677487186
"('P', 528)","('P', 525)",paper-paper,0.3102605442739206
"('P', 473)","('KW', 'digital twin')",paper-topic,1.0
"('P', 473)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 473)","('P', 240)",paper-paper,0.3578876451017382
"('P', 473)","('P', 468)",paper-paper,0.3578876451017382
"('P', 473)","('P', 496)",paper-paper,0.34055069913059904
"('P', 473)","('P', 499)",paper-paper,0.3044588994492091
"('P', 537)","('KW', 'predictive maintenance')",paper-topic,1.0
"('P', 537)","('P', 516)",paper-paper,0.45745671585853737
"('P', 537)","('P', 524)",paper-paper,0.2956638068904151
"('P', 0)","('KW', 'reliability engineering')",paper-topic,1.0
"('P', 0)","('P', 35)",paper-paper,0.5337480752886625
"('P', 427)","('KW', 'reliability engineering')",paper-topic,1.0
"('P', 427)","('P', 36)",paper-paper,0.3272105763563915
"('P', 427)","('P', 422)",paper-paper,0.7159573228636329
"('P', 427)","('P', 423)",paper-paper,0.3403690082197443
"('P', 427)","('P', 424)",paper-paper,0.2832983081459518
"('P', 427)","('P', 426)",paper-paper,1.0
"('P', 427)","('P', 457)",paper-paper,0.636614129263646
"('P', 427)","('P', 454)",paper-paper,0.5811148275031992
