task,model,accuracy,balanced_acc,precision,recall,f1,auroc,auprc,brier
T1_severity_4class,Dummy_stratified,0.42391304347826086,0.26556277056277056,0.42279116465863453,0.42391304347826086,0.42056661752133484,0.4925459651872897,,
T1_severity_4class,LogReg_L2,0.5706521739130435,0.6881060606060606,0.6024333150041022,0.5706521739130435,0.5737433107930265,0.7140320685312985,,
T1_severity_4class,RandomForest,0.6956521739130435,0.7066450216450216,0.6967642261120524,0.6956521739130435,0.6947745976258102,0.8390119429466362,,
T1_severity_4class,GradBoost,0.6956521739130435,0.6015367965367966,0.708197463768116,0.6956521739130435,0.6977316541801196,0.8467962687128003,,
T1_severity_4class,HistGB,0.7445652173913043,0.6864935064935065,0.7679983789943343,0.7445652173913043,0.7474036580108114,0.8793016868371298,,
T1_severity_4class,XGBoost,0.7554347826086957,0.6922943722943722,0.760362135983198,0.7554347826086957,0.7552133237558433,0.8769101842126774,,
T2_part_in_stock,Dummy_stratified,0.7228260869565217,0.48509454949944386,0.7266539619800491,0.7228260869565217,0.7247265169455751,0.48509454949944386,0.8384555836870002,0.27717391304347827
T2_part_in_stock,LogReg_L2,0.625,0.6793103448275861,0.824702380952381,0.625,0.6758198854763144,0.6934371523915461,0.9180061643313849,0.2011361127320897
T2_part_in_stock,RandomForest,0.6521739130434783,0.5973303670745272,0.7796576824709816,0.6521739130434782,0.6959290194939803,0.6476084538375974,0.8965597637441454,0.1944224519342758
T2_part_in_stock,GradBoost,0.7771739130434783,0.503337041156841,0.736718613584774,0.7771739130434783,0.7549164123446331,0.6060066740823137,0.899074569720932,0.1643175425131176
T2_part_in_stock,HistGB,0.625,0.5111234705228032,0.7395833333333334,0.6249999999999999,0.6694756554307116,0.5461624026696329,0.8809484798564068,0.2741058958105572
T2_part_in_stock,XGBoost,0.6413043478260869,0.6048943270300333,0.7837114051669817,0.6413043478260869,0.687937493838115,0.6294771968854282,0.9015780347911309,0.2353818281186946
T3_long_downtime,Dummy_stratified,0.4945652173913043,0.5088709677419355,0.568542199488491,0.4945652173913043,0.5093947113289974,0.5088709677419355,0.6778607375629073,0.5054347826086957
T3_long_downtime,LogReg_L2,0.7391304347826086,0.7935483870967741,0.8314827521676752,0.7391304347826086,0.7463533605365602,0.8570564516129032,0.9355047424717252,0.18681793889563372
T3_long_downtime,RandomForest,0.9456521739130435,0.9338709677419355,0.9454201470693225,0.9456521739130435,0.9454089904200442,0.9838037634408603,0.9912474484065943,0.06325526259866085
T3_long_downtime,GradBoost,0.9510869565217391,0.9379032258064517,0.950999117101209,0.9510869565217391,0.9507521752455064,0.9922715053763441,0.9958316403095476,0.0362964397234623
T3_long_downtime,HistGB,0.9456521739130435,0.9295698924731183,0.9456764363354037,0.9456521739130435,0.9451464743818567,0.9906586021505376,0.9949478823212417,0.0419342525991848
T3_long_downtime,XGBoost,0.9510869565217391,0.946505376344086,0.9513556896082147,0.9510869565217391,0.951190062278059,0.9869623655913979,0.9927063120229078,0.03817109439590228
