timestamp,T_outdoor_C,RH_outdoor_pct,solar_irradiance_W_m2,T_sky_C
2022-01-01 00:00:00,6.2,67.3,0.0,3.2
2022-01-01 01:00:00,5.13,59.8,0.0,2.13
2022-01-01 02:00:00,5.94,60.4,0.0,2.94
2022-01-01 03:00:00,8.76,57.3,0.0,5.76
2022-01-01 04:00:00,8.26,58.7,0.0,5.26
2022-01-01 05:00:00,8.13,57.3,0.0,5.13
2022-01-01 06:00:00,11.94,58.6,0.0,8.94
2022-01-01 07:00:00,14.23,61.9,0.0,11.23
2022-01-01 08:00:00,14.15,64.3,24.9,10.93
2022-01-01 09:00:00,16.24,65.6,100.5,12.36
2022-01-01 10:00:00,16.28,67.2,153.4,11.94
2022-01-01 11:00:00,16.29,72.4,197.0,11.57
2022-01-01 12:00:00,17.61,70.4,210.8,12.77
2022-01-01 13:00:00,14.36,78.6,157.8,9.98
2022-01-01 14:00:00,11.4,71.4,105.5,7.47
2022-01-01 15:00:00,10.6,79.6,71.1,6.98
2022-01-01 16:00:00,8.61,79.8,17.4,5.46
2022-01-01 17:00:00,9.04,75.1,0.0,6.04
2022-01-01 18:00:00,6.68,75.6,0.0,3.68
2022-01-01 19:00:00,3.15,77.8,0.0,0.15
2022-01-01 20:00:00,5.33,75.6,0.0,2.33
2022-01-01 21:00:00,3.87,65.8,0.0,0.87
2022-01-01 22:00:00,3.0,70.7,0.0,0.0
2022-01-01 23:00:00,-0.78,67.0,0.0,-3.78
2022-01-02 00:00:00,-2.53,70.5,0.0,-5.53
2022-01-02 01:00:00,-2.67,60.1,0.0,-5.67
2022-01-02 02:00:00,-5.07,73.1,0.0,-8.07
2022-01-02 03:00:00,-3.99,62.3,0.0,-6.99
2022-01-02 04:00:00,-4.59,69.8,0.0,-7.59
2022-01-02 05:00:00,-4.2,66.2,0.0,-7.2
2022-01-02 06:00:00,-4.13,65.5,0.0,-7.13
2022-01-02 07:00:00,1.13,68.2,0.0,-1.87
2022-01-02 08:00:00,2.61,72.1,10.1,-0.48
2022-01-02 09:00:00,2.08,67.2,34.7,-1.22
2022-01-02 10:00:00,5.4,74.9,75.4,1.74
2022-01-02 11:00:00,4.44,75.7,85.4,0.7
2022-01-02 12:00:00,6.29,78.6,112.8,2.3
2022-01-02 13:00:00,3.51,79.9,81.9,-0.21
2022-01-02 14:00:00,1.88,79.9,54.5,-1.6
2022-01-02 15:00:00,3.08,78.0,35.9,-0.24
2022-01-02 16:00:00,4.96,82.1,12.9,1.85
2022-01-02 17:00:00,5.29,80.9,0.0,2.29
2022-01-02 18:00:00,4.7,79.6,0.0,1.7
2022-01-02 19:00:00,3.49,77.5,0.0,0.49
2022-01-02 20:00:00,-0.24,78.5,0.0,-3.24
2022-01-02 21:00:00,-2.41,78.3,0.0,-5.41
2022-01-02 22:00:00,-4.02,66.7,0.0,-7.02
2022-01-02 23:00:00,-2.49,62.1,0.0,-5.49
2022-01-03 00:00:00,-2.38,72.2,0.0,-5.38
2022-01-03 01:00:00,-6.27,63.4,0.0,-9.27
2022-01-03 02:00:00,-5.54,62.8,0.0,-8.54
2022-01-03 03:00:00,-5.96,65.0,0.0,-8.96
2022-01-03 04:00:00,-6.62,61.6,0.0,-9.62
2022-01-03 05:00:00,-4.32,65.3,0.0,-7.32
2022-01-03 06:00:00,-0.98,63.5,0.0,-3.98
2022-01-03 07:00:00,2.28,66.1,0.0,-0.72
2022-01-03 08:00:00,2.05,70.1,10.5,-1.04
2022-01-03 09:00:00,3.04,70.4,35.2,-0.27
2022-01-03 10:00:00,5.33,71.6,71.4,1.7
2022-01-03 11:00:00,8.77,74.3,123.0,4.69
2022-01-03 12:00:00,9.02,78.6,120.0,4.97
2022-01-03 13:00:00,9.65,81.5,130.8,5.51
2022-01-03 14:00:00,8.16,77.8,104.7,4.24
2022-01-03 15:00:00,6.25,85.3,53.9,2.78
2022-01-03 16:00:00,8.13,81.1,16.2,4.99
2022-01-03 17:00:00,10.66,72.5,0.0,7.66
2022-01-03 18:00:00,9.89,71.2,0.0,6.89
2022-01-03 19:00:00,11.03,70.7,0.0,8.03
2022-01-03 20:00:00,10.6,74.5,0.0,7.6
2022-01-03 21:00:00,8.04,67.4,0.0,5.04
2022-01-03 22:00:00,7.55,60.9,0.0,4.55
2022-01-03 23:00:00,9.46,62.5,0.0,6.46
2022-01-04 00:00:00,8.21,55.8,0.0,5.21
2022-01-04 01:00:00,10.45,55.8,0.0,7.45
2022-01-04 02:00:00,4.45,59.2,0.0,1.45
2022-01-04 03:00:00,5.94,60.4,0.0,2.94
2022-01-04 04:00:00,6.22,63.2,0.0,3.22
2022-01-04 05:00:00,6.05,63.3,0.0,3.05
2022-01-04 06:00:00,7.0,58.8,0.0,4.0
2022-01-04 07:00:00,4.01,64.8,0.0,1.01
2022-01-04 08:00:00,4.94,68.1,14.9,1.81
2022-01-04 09:00:00,7.12,68.5,54.4,3.64
2022-01-04 10:00:00,11.49,68.9,121.5,7.43
2022-01-04 11:00:00,11.64,66.9,160.2,7.23
2022-01-04 12:00:00,11.08,71.0,155.4,6.72
2022-01-04 13:00:00,10.98,74.8,131.2,6.83
2022-01-04 14:00:00,13.46,66.5,146.1,9.18
2022-01-04 15:00:00,14.34,77.6,82.6,10.62
2022-01-04 16:00:00,13.12,71.9,27.9,9.88
2022-01-04 17:00:00,13.72,76.7,0.0,10.72
2022-01-04 18:00:00,13.13,75.2,0.0,10.13
2022-01-04 19:00:00,14.04,69.2,0.0,11.04
2022-01-04 20:00:00,11.33,72.8,0.0,8.33
2022-01-04 21:00:00,9.37,70.4,0.0,6.37
2022-01-04 22:00:00,7.3,65.7,0.0,4.3
2022-01-04 23:00:00,3.22,65.0,0.0,0.22
2022-01-05 00:00:00,2.95,67.6,0.0,-0.05
2022-01-05 01:00:00,2.84,63.5,0.0,-0.16
2022-01-05 02:00:00,2.47,65.1,0.0,-0.53
2022-01-05 03:00:00,1.95,54.7,0.0,-1.05
2022-01-05 04:00:00,-0.58,63.8,0.0,-3.58
2022-01-05 05:00:00,-0.65,59.8,0.0,-3.65
2022-01-05 06:00:00,-0.24,65.8,0.0,-3.24
2022-01-05 07:00:00,-0.49,70.3,0.0,-3.49
2022-01-05 08:00:00,0.77,75.1,10.9,-2.32
2022-01-05 09:00:00,3.25,68.4,40.8,-0.11
2022-01-05 10:00:00,8.64,69.6,103.6,4.73
